               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.021795,           0.0086593,            0.032126,             0.54983,             0.73002,             0.65901,             0.53031,             0.01777,           0.0023649,            0.025755,           0.0073765,           0.0073765,           0.0073765
                 108,            0.021334,           0.0087116,            0.032226,             0.56678,             0.71892,             0.66277,             0.53103,             0.01809,           0.0023654,            0.026545,           0.0073517,           0.0073517,           0.0073517
                 109,            0.022039,           0.0086783,            0.032339,             0.59753,             0.68509,             0.66369,              0.5341,            0.018103,           0.0023742,            0.025808,            0.007327,            0.007327,            0.007327
                 110,            0.021369,           0.0085669,            0.030945,             0.57667,             0.71611,              0.6633,             0.53124,            0.017674,           0.0023945,             0.02486,           0.0073023,           0.0073023,           0.0073023
                 111,            0.020703,           0.0083372,            0.030984,             0.58635,             0.69721,             0.66369,             0.53172,            0.017423,           0.0023803,            0.024996,           0.0072775,           0.0072775,           0.0072775
                 112,            0.021701,            0.008651,            0.031332,             0.58799,             0.69902,             0.66401,             0.53351,            0.017507,           0.0023695,            0.025651,           0.0072527,           0.0072527,           0.0072527
                 113,            0.021016,           0.0086145,             0.03314,             0.56516,             0.74096,             0.66079,             0.53108,             0.01759,           0.0023776,            0.026248,            0.007228,            0.007228,            0.007228
                 114,            0.021915,           0.0085788,            0.033461,             0.57384,             0.71511,             0.66075,              0.5317,            0.017686,           0.0023827,            0.028652,           0.0072033,           0.0072033,           0.0072033
                 115,            0.021826,           0.0086331,            0.032018,             0.56172,             0.73979,              0.6603,             0.53117,            0.017657,           0.0023847,            0.029047,           0.0071785,           0.0071785,           0.0071785
                 116,            0.021295,           0.0087622,            0.032814,             0.57286,             0.70672,             0.65857,             0.53028,            0.017599,           0.0023922,            0.029484,           0.0071538,           0.0071538,           0.0071538
                 117,            0.021646,           0.0084774,            0.030231,             0.57055,             0.71045,             0.65356,              0.5262,            0.017566,           0.0023882,            0.030268,            0.007129,            0.007129,            0.007129
                 118,            0.021653,           0.0087295,            0.032974,             0.58807,             0.69899,             0.65913,              0.5325,            0.017505,           0.0023741,            0.029295,           0.0071042,           0.0071042,           0.0071042
                 119,            0.021033,           0.0088119,            0.032739,             0.57104,             0.71933,              0.6615,             0.53433,            0.017374,            0.002378,            0.027017,           0.0070795,           0.0070795,           0.0070795
                 120,            0.021709,           0.0083756,            0.031311,             0.56819,             0.73271,              0.6609,             0.53346,            0.017489,           0.0023863,            0.028001,           0.0070547,           0.0070547,           0.0070547
                 121,            0.021702,           0.0085847,            0.030759,             0.57135,             0.72039,             0.65916,             0.53181,            0.017547,           0.0023906,            0.028572,             0.00703,             0.00703,             0.00703
                 122,            0.020686,            0.008504,            0.031673,             0.57631,             0.71831,             0.66072,             0.53418,            0.017599,           0.0023783,            0.026973,           0.0070053,           0.0070053,           0.0070053
                 123,            0.020752,           0.0087613,             0.03167,              0.5581,             0.72704,              0.6594,             0.53324,            0.017648,           0.0023726,             0.02753,           0.0069805,           0.0069805,           0.0069805
                 124,            0.022178,           0.0085594,            0.032936,             0.55728,             0.72465,             0.66175,             0.53621,            0.017904,           0.0023715,            0.028259,           0.0069558,           0.0069558,           0.0069558
                 125,               0.021,           0.0086285,            0.031934,              0.5794,             0.69248,             0.66068,             0.53517,            0.017961,           0.0023661,            0.027019,            0.006931,            0.006931,            0.006931
                 126,            0.021108,           0.0086545,             0.03219,              0.5518,              0.7366,             0.65975,             0.53672,            0.018054,           0.0023748,            0.027307,           0.0069063,           0.0069063,           0.0069063
                 127,            0.021489,           0.0085355,            0.030268,             0.56179,             0.73077,             0.65912,             0.53522,             0.01808,           0.0023808,            0.027231,           0.0068815,           0.0068815,           0.0068815
                 128,            0.020919,           0.0084969,            0.031069,             0.56002,             0.73308,             0.66035,             0.53701,            0.018041,            0.002378,            0.026604,           0.0068568,           0.0068568,           0.0068568
                 129,            0.021049,           0.0084739,            0.030845,             0.56196,             0.71667,             0.66196,             0.53805,            0.018012,           0.0023807,            0.026304,            0.006832,            0.006832,            0.006832
                 130,              0.0223,           0.0083806,            0.029972,             0.56962,             0.71448,             0.66048,             0.53597,            0.017891,           0.0023777,            0.025843,           0.0068073,           0.0068073,           0.0068073
                 131,            0.021313,            0.008642,            0.030753,             0.57511,             0.71078,             0.66295,              0.5386,            0.017711,           0.0023767,            0.025613,           0.0067825,           0.0067825,           0.0067825
                 132,            0.020642,           0.0084103,            0.028815,             0.61007,             0.66322,             0.66596,             0.54015,            0.017657,           0.0023792,            0.026685,           0.0067577,           0.0067577,           0.0067577
                 133,            0.021057,           0.0083667,            0.029088,             0.58381,             0.70731,             0.66684,              0.5408,            0.017617,           0.0023768,            0.027798,            0.006733,            0.006733,            0.006733
                 134,            0.020999,            0.008405,            0.028632,             0.57913,             0.70301,             0.66463,             0.53843,            0.017637,           0.0023757,            0.028828,           0.0067082,           0.0067082,           0.0067082
                 135,            0.020966,           0.0085782,            0.031501,             0.57629,             0.70728,             0.66503,             0.53947,            0.017571,            0.002373,            0.029056,           0.0066835,           0.0066835,           0.0066835
                 136,            0.022079,           0.0085567,            0.031369,             0.56772,             0.72617,             0.66571,             0.54091,            0.017414,           0.0023723,            0.029567,           0.0066587,           0.0066587,           0.0066587
                 137,            0.021309,           0.0084728,            0.029868,             0.57198,              0.7228,             0.66615,             0.54045,            0.017304,           0.0023702,            0.029637,            0.006634,            0.006634,            0.006634
                 138,            0.020813,            0.008764,            0.033946,              0.5813,             0.70829,             0.66338,             0.53773,            0.017214,            0.002366,            0.029112,           0.0066092,           0.0066092,           0.0066092
                 139,             0.02117,           0.0086046,            0.029672,              0.5835,             0.69759,               0.663,             0.53904,            0.017231,             0.00236,            0.028767,           0.0065845,           0.0065845,           0.0065845
                 140,            0.021472,           0.0085913,            0.030884,             0.58119,             0.69281,             0.66208,             0.53878,            0.017145,           0.0023579,            0.028899,           0.0065598,           0.0065598,           0.0065598
                 141,             0.02082,           0.0084889,            0.031204,              0.5709,             0.70355,             0.66104,             0.53734,            0.016999,           0.0023568,            0.028739,            0.006535,            0.006535,            0.006535
                 142,            0.020842,             0.00856,            0.030048,             0.55844,             0.72989,             0.66122,             0.53816,            0.016894,           0.0023586,            0.027728,           0.0065102,           0.0065102,           0.0065102
                 143,            0.021062,           0.0084423,             0.03003,              0.5584,              0.7344,             0.66294,             0.53912,            0.016873,           0.0023557,            0.027464,           0.0064855,           0.0064855,           0.0064855
                 144,            0.021458,            0.008745,            0.031347,             0.56058,             0.72789,             0.66327,             0.53864,             0.01689,           0.0023597,            0.027284,           0.0064608,           0.0064608,           0.0064608
                 145,            0.020982,           0.0084961,            0.028959,             0.55387,             0.73472,             0.66198,             0.53784,            0.016908,           0.0023633,            0.027291,            0.006436,            0.006436,            0.006436
                 146,            0.021765,           0.0085013,            0.030126,             0.56699,             0.69995,             0.66383,             0.53994,            0.016991,           0.0023686,            0.027448,           0.0064112,           0.0064112,           0.0064112
                 147,              0.0201,           0.0083484,            0.029027,             0.57616,             0.69148,             0.66366,              0.5408,            0.017021,           0.0023685,             0.02727,           0.0063865,           0.0063865,           0.0063865
                 148,            0.020622,           0.0082571,            0.030451,             0.58512,             0.68259,             0.66234,             0.54037,            0.017047,           0.0023725,            0.027428,           0.0063618,           0.0063618,           0.0063618
                 149,            0.021518,           0.0084232,            0.028813,             0.59865,             0.66611,             0.66125,             0.53839,              0.0171,           0.0023749,            0.027361,            0.006337,            0.006337,            0.006337
                 150,            0.019647,           0.0082689,            0.028695,             0.59245,             0.67165,             0.66023,               0.537,            0.017073,           0.0023762,            0.027146,           0.0063122,           0.0063122,           0.0063122
                 151,            0.020454,           0.0083709,            0.028139,             0.57803,             0.69186,              0.6601,             0.53668,            0.017091,           0.0023773,            0.027206,           0.0062875,           0.0062875,           0.0062875
